workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 169700.00 ns, 169.7000 us/op",23235251073691,250,2390,477.0098,9,0,10,10,10,4524992,449608,56717312
"WorkloadWarmup   1: 1024 op, 59400.00 ns, 58.0078 ns/op",23235251446265,296.875,2487,482.892,9,0,106,106,106,4700248,452592,56705024
"WorkloadActual   1: 1024 op, 60000.00 ns, 58.5938 ns/op",23235251582811,312.5,2491,483.186,9,0,110,110,110,4712592,453528,56614912
