phase,case,mean_ns,ci_lower_ns,ci_upper_ns,iteration_mean_min_ns,iteration_mean_max_ns,samples,allocated_bytes,raw_1000_operation_bytes,direct_warmup_seconds,direct_warmup_operations,bdn_warmup_seconds,bdn_warmup_operations,measured_jit_methods,later_measured_jit_methods,measured_jit_ms,max_measured_threads
A1,ConstructAndHash,43.56438055621726,41.23964698747972,45.889114124954794,40.1454150010109,48.74779719736111,25,0,0,20.014,243131705,30.244285,719356320,3,0,0.7615000000000123,0
A1,TypedConstruction,0.48046277883338406,0.4575278678183733,0.5033976898483948,0.44718332474775174,0.5938466559177945,25,0,0,20.012,438491058,29.4883509,17614648320,3,0,0.6893000000000029,0
B,ConstructAndHash,39.84969454528874,39.585428502694405,40.11396058788308,39.259420709129756,40.57930561036699,25,0,0,20.0,222320184,25.7908651,610578240,3,0,0.7027999999999679,0
B,TypedConstruction,0.6826058709636175,0.6691305240294021,0.6960812178978328,0.6653070295038602,0.7363850865779149,25,0,0,20.0,438252483,32.6677153,15819396960,3,0,0.6761999999999944,0
A2,ConstructAndHash,41.05752940684164,40.6950342229113,41.42002459077197,40.29868144962827,42.55475444647919,25,0,0,20.011,244132069,30.4883775,722648160,3,0,0.6945999999999799,0
A2,TypedConstruction,0.6759489048186178,0.6636228285351923,0.6882749811020433,0.653085548150436,0.7172370616020105,25,0,0,20.01,443161268,29.2160268,15538511040,3,0,0.6850000000000023,0
