Sample,SetupCpuTicks,StopCpuTicks,CleanupCpuTicks,SetupKernelTicks,StopKernelTicks,CleanupKernelTicks,LatencyTicks
24096,2160,2610,30,490,730,10,166658
24097,2150,2920,30,610,0,0,183232
24098,2160,2670,20,0,0,0,170994
24099,2150,2630,20,0,0,0,167508
24100,2140,2600,20,0,0,0,165065
24101,2450,2610,30,2450,2610,20,166817
24102,2180,2620,20,610,740,0,167439
24103,7700,2100,30,0,0,0,208009
24104,4490,2710,10,1170,760,0,175902
24105,2210,2650,20,620,740,10,169031
24106,2300,2620,20,0,0,0,167619
24107,2160,2610,20,0,0,0,167449
24108,2150,2610,30,490,730,10,166979
24109,2150,2780,20,600,0,0,182231
24110,2180,2610,30,0,0,0,166738
24111,2160,2620,20,0,630,10,167088
24112,2170,2620,20,610,730,10,167499
24113,2480,2670,20,2480,2670,20,169762
24114,2190,2630,20,1350,730,10,168761
24115,2150,2680,30,600,750,10,173397
24116,2160,2950,20,610,2950,20,184225
24117,2160,2630,30,2160,1500,10,168150
24118,2160,2630,20,610,730,10,168061
24119,2170,2780,20,610,0,0,182631
24120,2180,2660,30,0,0,0,171705
24121,2160,2670,20,0,660,0,171805
24122,2190,2640,20,610,740,10,169462
24123,2490,2630,20,0,0,0,169121
24124,2160,2630,30,0,0,0,167899
24125,2160,2630,20,0,0,0,168289
24126,2150,2960,20,0,2960,20,185095
24127,2170,2650,20,1980,740,10,168810
24128,2170,2640,20,610,740,10,169272
24129,2170,2810,20,610,0,0,179757
24130,2090,2650,30,0,0,0,170833
24131,2180,2650,10,0,670,0,168761
24132,7800,2830,20,0,130,0,181850
24133,2110,2650,30,590,740,10,170293
24134,2160,2880,20,600,0,0,190903
24135,2110,2630,20,0,0,0,167719
24136,7940,3180,30,1530,3180,30,201530
24137,2050,2630,30,2050,1260,10,167548
24138,2090,2640,10,590,740,0,169322
24139,2150,2760,20,600,0,0,181199
24140,2110,2630,30,0,0,0,169311
24141,2170,2630,20,0,650,10,167108
24142,2090,2610,10,590,730,0,167139
24143,2290,2740,20,0,0,0,172246
24144,2090,2620,30,0,0,0,168301
24145,2170,2610,40,510,730,10,167278
24146,2070,2770,20,580,0,0,183002
24147,2180,2630,20,0,0,0,167940
24148,2070,2700,10,0,630,0,175451
24149,2170,2600,10,610,730,0,165496
24150,2350,2640,20,2350,2640,20,169122
24151,2180,2640,20,1460,740,0,169031
24152,2060,2630,20,580,730,10,169843
24153,2170,2920,20,610,2920,20,180788
24154,2070,2620,30,2070,1590,10,167229
24155,2160,2630,10,600,740,0,167388
24156,2060,2600,20,580,730,0,167279
24157,2500,2620,20,2500,2620,20,161920
24158,770,1250,10,770,560,0,122622
24159,720,1200,20,210,330,10,119848
24160,700,1190,10,200,330,0,117685
24161,710,2870,20,200,0,0,190093
24162,2190,2630,20,0,0,0,168120
24163,2170,2600,20,0,660,10,166357
24164,2170,2770,20,610,0,0,183183
24165,2180,2620,20,0,0,0,167218
24166,2160,2610,10,0,630,0,165847
24167,2150,2600,30,600,730,10,165977
24168,2300,2650,20,2300,2650,20,170604
24169,4610,2460,20,4610,1110,0,205836
24170,8060,1270,20,6730,360,0,125076
24171,720,1200,10,200,340,0,119397
24172,680,1200,10,190,340,0,118456
24173,680,1210,10,190,340,0,119658
24174,680,1460,10,190,0,0,144234
24175,710,1220,10,0,0,0,120299
24176,700,1210,10,0,0,0,119107
24177,690,1210,10,0,0,0,119217
24178,700,1190,10,0,0,0,117795
24179,690,1390,10,0,0,0,136843
24180,720,1200,20,0,0,0,118726
24181,690,1180,10,0,0,0,116523
24182,690,1220,20,0,0,0,121020
24183,690,1200,10,0,0,0,118686
24184,700,1270,10,0,170,0,125707
24185,750,1220,10,750,1220,10,120259
24186,730,1220,10,730,1220,10,120138
24187,690,1250,10,690,1250,10,123654
24188,690,1190,10,690,1190,10,117455
24189,680,1200,10,680,1200,10,117965
24190,1910,2730,20,0,0,0,175981
24191,2220,2650,30,0,60,10,169482
24192,2120,2630,10,590,740,0,169061
24193,2160,2980,20,600,0,0,189663
24194,2070,2680,30,0,0,0,172796
24195,2200,2610,20,0,0,0,167249
24196,2060,2750,20,0,0,0,181700
24197,2250,2630,20,0,0,0,168360
24198,2070,2610,30,0,0,0,167849
24199,2170,2630,20,0,410,0,167248
24200,2370,2620,30,0,0,0,167659
24201,2160,2630,20,0,0,0,167669
24202,10220,2820,20,0,0,0,184745
24203,2120,2640,20,0,0,0,169541
24204,2200,2970,20,0,2970,20,185617
24205,2180,2670,20,2180,1320,0,171885
24206,2180,2610,30,610,730,10,166608
24207,2160,2640,30,600,740,10,167718
24208,2500,2640,30,2500,2640,30,169101
24209,2190,2610,30,1360,730,10,166697
24210,1980,2640,20,550,740,10,167990
24211,2150,2940,20,610,0,0,182871
24212,2170,2650,30,0,0,0,168822
24213,2160,2600,30,0,0,0,165476
24214,2180,2750,20,0,0,0,180699
24215,2280,2630,30,0,0,0,169091
24216,2160,2630,30,0,0,0,168871
24217,2150,2620,30,0,460,10,168210
24218,2470,2650,20,2470,2650,20,170524
24219,2160,2600,30,1360,730,10,166126
24220,2170,2620,20,610,730,10,167489
24221,2170,2900,30,610,2900,30,182200
24222,2170,2620,30,2170,1520,10,168501
24223,2170,2630,30,600,740,10,168420
24224,2180,2880,20,610,2880,20,184655
24225,2130,2610,20,2130,2610,20,166567
24226,2170,2610,30,2170,960,10,167790
24227,2180,2620,20,610,730,10,167598
24228,2300,2630,30,0,0,0,168671
24229,2170,2620,30,0,0,0,167788
24230,2180,2660,20,510,750,0,170453
24231,2180,2800,20,610,0,0,185365
24232,2180,2610,20,0,0,0,167319
24233,2170,2620,10,0,640,0,166797
24234,2180,2630,20,610,740,0,168270
24235,10810,2870,260,0,0,260,187368
24236,2280,2650,20,2280,2650,20,169091
24237,2120,2630,30,2120,2630,30,168410
24238,4970,3080,20,4970,3080,20,192356
