workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 141700.00 ns, 141.7000 us/op",23235204823201,265.625,2383,165.23,11,0,10,10,10,4523424,449296,56758272
"WorkloadWarmup   1: 1024 op, 18600.00 ns, 18.1641 ns/op",23235205139548,296.875,2480,170.6754,11,0,98,98,98,4685256,452312,56692736
"WorkloadActual   1: 1024 op, 19000.00 ns, 18.5547 ns/op",23235205255979,312.5,2484,170.9208,11,0,102,102,102,4697600,453184,56664064
