Sample,Start,Release,Resume,HandlerEnd,Return,End,Gen0Before,Gen0After,Gen2Before,Gen2After,ThreadsBefore,ThreadsAfter
72,155893285947,155893303770,155893306724,155894107351,155894124624,155894125366,5,5,5,5,4,4
73,155894407660,155894422608,155894437935,155895208586,155895218955,155895219486,5,5,5,5,4,4
74,155895425769,155895441719,155895447209,155896360175,155896381124,155896381845,5,5,5,5,4,4
75,155896615670,155896631700,155896636730,155897439872,155897461743,155897462394,5,5,5,5,4,4
76,155897710996,155897726955,155897728987,155898609323,155898630813,155898631514,5,5,5,5,4,4
77,155898896005,155898913908,155898916194,155899800176,155899822117,155899822808,5,5,5,5,4,4
78,155900132674,155900150637,155900152800,155901037112,155901058101,155901058812,5,5,5,5,4,4
79,155901326990,155901344213,155901356246,155902227164,155902237463,155902238084,5,5,5,5,4,4
80,155902448515,155902474353,155902497555,155903373442,155903394681,155903395363,5,5,5,5,4,4
81,155903680101,155903699197,155903711140,155904582609,155904592878,155904593439,5,5,5,5,4,4
82,155904801446,155904818127,155904823627,155905699754,155905721034,155905721695,5,5,5,5,4,4
83,155905969586,155905984894,155905986956,155906861320,155906883041,155906883692,5,5,5,5,4,4
84,155907182617,155907199629,155907204399,155907962397,155907972165,155907972716,5,5,5,5,4,4
85,155908207883,155908225305,155908230726,155908930555,155908938249,155909647847,5,5,5,5,4,4
86,155910706394,155910724818,155910730108,155911658552,155911681124,155911681916,6,6,6,6,4,4
87,155911994957,155912037056,155912045339,155912801253,155912811833,155912812384,6,6,6,6,4,4
88,155913103675,155913133170,155913142659,155913988320,155914025419,155914026160,6,6,6,6,4,4
89,155914343529,155914361302,155914370648,155915289054,155915310203,155915310905,6,6,6,6,4,4
90,155915596565,155915613346,155915617726,155916440745,155916461874,155916462585,6,6,6,6,4,4
91,155916743487,155916760118,155916763713,155917636945,155917647214,155917647785,6,6,6,6,4,4
92,155917912908,155917928878,155917934428,155918808832,155918830212,155918830953,6,6,6,6,4,4
93,155919209828,155919227321,155919229944,155920112764,155920134204,155920134955,6,6,6,6,4,4
94,155920448287,155920466070,155920490878,155921294230,155921316071,155921316772,6,6,6,6,4,4
95,155921596040,155921626507,155921630713,155922431350,155922453311,155922454053,6,6,6,6,4,4
96,155922734934,155922752046,155922756075,155923565449,155923585897,155923586628,6,6,6,6,4,4
97,155923875044,155923892446,155923895971,155924766678,155924776737,155924777228,6,6,6,6,4,4
98,155925053461,155925070643,155925074572,155925813043,155925822631,155925823232,6,6,6,6,4,4
99,155926109965,155926127227,155926131674,155926996199,155927029872,155927030593,6,6,6,6,4,4
100,155927363001,155927380223,155927383440,155928195438,155928216958,155928217700,6,6,6,6,4,4
101,155928892153,155928908613,155928913330,155929782925,155929793725,155929794307,6,6,6,6,4,4
102,155930070099,155930086580,155930091931,155930840762,155930850430,155930851051,6,6,6,6,4,4
103,155931161568,155931178570,155931182926,155931936356,155931945963,155931946544,6,6,6,6,4,4
104,155932254777,155932271999,155932275537,155933188683,155933210634,155933211385,6,6,6,6,4,4
105,155933492387,155933509288,155933513134,155934321455,155934344138,155934344889,6,6,6,6,4,4
106,155934631271,155934647812,155934651701,155935533899,155935543978,155935544519,6,6,6,6,4,4
107,155935801296,155935817426,155935822866,155936696068,155936716345,155936717057,6,6,6,6,4,4
108,155937021813,155937039295,155937042009,155937894382,155937904361,155937904891,6,6,6,6,4,4
109,155938218725,155938236077,155938239635,155938985019,155938994236,155938994788,6,6,6,6,4,4
110,155939313750,155939329810,155939334367,155940255177,155940276547,155940277338,6,6,6,6,4,4
111,155940563400,155940580291,155940584440,155941390547,155941412148,155941412849,6,6,6,6,4,4
112,155941696396,155941712856,155941716862,155942622605,155942644625,155942645276,6,6,6,6,4,4
113,155942933622,155942950333,155942953911,155943726747,155943736736,155943737236,6,6,6,6,4,4
114,155944025121,155944043565,155944046890,155944972419,155944993979,155944994771,6,6,6,6,4,4
115,155945334011,155945351734,155945360211,155946167050,155946177569,155946178150,6,6,6,6,4,4
116,155946437332,155946453692,155946459172,155947344747,155947364804,155947365546,6,6,6,6,4,4
117,155947653921,155947670783,155947673055,155948550275,155948560403,155948560924,6,6,6,6,4,4
118,155949458181,155949476645,155949480124,155950320124,155950343006,155950343777,7,7,7,7,4,4
119,155950581840,155950598811,155950602747,155951413473,155951434782,155951435484,7,7,7,7,4,4
120,155951674097,155951689806,155951691972,155952562749,155952583848,155952584510,7,7,7,7,4,4
121,155952853610,155952870621,155952880688,155953684090,155953705500,155953706201,7,7,7,7,4,4
122,155953942851,155953959161,155953963511,155954739412,155954749481,155954750082,7,7,7,7,4,4
123,155954962887,155954978767,155954983195,155955868960,155955878829,155955879359,7,7,7,7,4,4
124,155956114747,155956130646,155956136096,155956984372,155957023254,155957024066,7,7,7,7,4,4
125,155957266707,155957282446,155957286842,155958200820,155958222801,155958223562,7,7,7,7,4,4
126,155958460452,155958477163,155958480291,155959289193,155959310633,155959311364,7,7,7,7,4,4
127,155959546511,155959562491,155959566977,155960484912,155960505942,155960506663,7,7,7,7,4,4
128,155960744004,155960761396,155960764573,155961566864,155961588053,155961588714,7,7,7,7,4,4
129,155961826095,155961841955,155961846241,155962719884,155962729592,155962730053,7,7,7,7,4,4
130,155962936025,155962952456,155962957796,155963866263,155963887142,155963887853,7,7,7,7,4,4
131,155964146654,155964163225,155964168246,155964915423,155964924560,155964925121,7,7,7,7,4,4
132,155965190875,155965207346,155965210921,155966094342,155966104430,155966104991,7,7,7,7,4,4
133,155966311926,155966327094,155966332424,155967206537,155967226214,155967226915,7,7,7,7,4,4
134,155967503288,155967519599,155967523217,155968363378,155968384928,155968385639,7,7,7,7,4,4
135,155968644941,155968662082,155968670867,155969439204,155969449624,155969450175,7,7,7,7,4,4
136,155969647591,155969659954,155969663932,155970552672,155970562481,155970563062,7,7,7,7,4,4
137,155970767772,155970785545,155970790935,155971673154,155971693762,155971694443,7,7,7,7,4,4
138,155971940601,155971956230,155971958205,155972833591,155972855592,155972856273,7,7,7,7,4,4
139,155973118570,155973134650,155973136702,155974003031,155974043036,155974043757,7,7,7,7,4,4
140,155974326512,155974344426,155974352502,155975177865,155975199295,155975199946,7,7,7,7,4,4
141,155975448007,155975466231,155975469095,155976285741,155976307732,155976308423,7,7,7,7,4,4
142,155976598052,155976615143,155976624091,155977389854,155977400033,155977400594,7,7,7,7,4,4
143,155977596387,155977608851,155977612958,155978495347,155978504975,155978505546,7,7,7,7,4,4
144,155978708523,155978724453,155978729763,155979641195,155979662265,155979662956,7,7,7,7,4,4
145,155979923239,155979941543,155979949126,155980718705,155980729105,155980729676,7,7,7,7,4,4
146,155980930829,155980943232,155980947119,155981670052,155981677777,155981679831,7,7,7,7,4,4
147,155981886104,155981901512,155981905800,155982780244,155982789882,155982790413,7,7,7,7,4,4
148,155982989914,155983042882,155983064725,155983928739,155983949718,155983950470,7,7,7,7,4,4
149,155984299999,155984318122,155984327739,155985246115,155985268717,155985269418,7,7,7,7,4,4
150,155986117283,155986135637,155986139145,155986889569,155986899477,155986900048,8,8,8,8,4,4
151,155987174618,155987191640,155987193922,155988103182,155988121487,155988122248,8,8,8,8,4,4
152,155988354219,155988370129,155988375529,155989294045,155989314583,155989315244,8,8,8,8,4,4
153,155989548708,155989564878,155989569435,155990371424,155990393125,155990393836,8,8,8,8,4,4
154,155990631588,155990647728,155990651897,155991539646,155991550156,155991550697,8,8,8,8,4,4
155,155991758202,155991773821,155991778960,155992644909,155992665287,155992665978,8,8,8,8,4,4
156,155992920331,155992936120,155992938282,155993813718,155993834928,155993835649,8,8,8,8,4,4
157,155994136578,155994154301,155994167487,155995042072,155995059933,155995060654,8,8,8,8,4,4
158,155995321649,155995338470,155995349423,155996226401,155996236731,155996237272,8,8,8,8,4,4
159,155996441601,155996457481,155996462911,155997376738,155997396915,155997397637,8,8,8,8,4,4
160,155997632283,155997648373,155997652779,155998412420,155998422899,155998423501,8,8,8,8,4,4
161,155998637298,155998654420,155998660000,155999538171,155999548200,155999548711,8,8,8,8,4,4
162,155999751848,155999768158,155999773608,156000654104,156000674722,156000675423,8,8,8,8,4,4
163,156000920539,156000935787,156000939095,156001811646,156001832875,156001833546,8,8,8,8,4,4
164,156002097246,156002114047,156002118314,156002864429,156002873837,156002874368,8,8,8,8,4,4
165,156003107852,156003124883,156003128321,156003974533,156003984191,156003984712,8,8,8,8,4,4
166,156004273648,156004290660,156004300156,156005073322,156005083622,156005084223,8,8,8,8,4,4
167,156005284705,156005296858,156005300855,156006023006,156006037093,156006040198,8,8,8,8,4,4
168,156006282408,156006298839,156006303257,156007276655,156007306821,156007307532,8,8,8,8,4,4
169,156007617769,156007634700,156007640741,156008578703,156008602117,156008602868,8,8,8,8,4,4
170,156008851229,156008866889,156008868884,156009738349,156009761221,156009761883,8,8,8,8,4,4
