Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Enabled,Mean,Error,StdDev,Median,Max,Gen0,Allocated
SynchronousBatch,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,False,247.461 ns,1.2809 ns,1.1355 ns,246.913 ns,249.285 ns,0.0000,0 B
PendingBatch,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,False,413.964 ns,4.3033 ns,4.0253 ns,415.733 ns,419.641 ns,0.0000,0 B
PublisherControl,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,False,6.922 ns,0.0768 ns,0.0681 ns,6.925 ns,7.076 ns,0.0000,0 B
SynchronousBatch,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,True,371.763 ns,5.0014 ns,4.4336 ns,369.820 ns,381.130 ns,0.0000,0 B
PendingBatch,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,True,696.642 ns,10.6111 ns,9.9257 ns,697.082 ns,708.763 ns,0.0109,176 B
PublisherControl,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,True,6.791 ns,0.0492 ns,0.0436 ns,6.789 ns,6.890 ns,0.0000,0 B
