seconds,callbacks,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
1.0001352,4491,343373713768,1158.792,252,101.8589,0,0,3,0,0,64935224,15002392,74039296
2.0001085,10383,344373756907,2385.811,572,327.8512,0,0,8,0,0,146134536,12579864,78802944
3.0003274,17187,345373959824,3385.936,572,327.8512,0,0,14,0,0,239538768,5607560,78811136
4.0001321,23994,346373780848,4386.388,574,328.5326,0,0,19,0,0,332984000,15446368,78880768
5.0004177,30759,347374063944,5386.557,575,333.8502,0,0,25,0,0,425856512,7936456,79327232
6.0003951,37575,348374042297,6390.85,589,338.0898,0,0,30,0,0,519440808,17917352,79351808
7.0004291,44367,349374074829,7390.784,590,338.3429,0,0,36,0,0,612669112,10781192,79360000
8.0000614,51168,350373710153,8388.438,590,338.3429,0,0,42,0,0,706033640,3764736,79368192
9.0000299,57981,351373678114,9388.387,590,338.3429,0,0,47,1,0,799565656,13638648,79560704
10.0002884,64779,352373920397,10388.73,591,338.4836,0,0,53,1,0,892888560,6585424,80011264
11.0001354,71583,353373784825,11388.589,591,338.4836,0,0,58,1,0,986244976,16353776,80015360
12.0003189,78384,354373951447,12391.895,598,341.6313,0,0,64,1,0,1079550920,9301872,80035840
13.0001935,85197,355373842085,13391.602,598,341.6313,0,0,69,1,0,1173031520,19196872,80035840
14.0002833,92001,356373912532,14391.578,598,341.6313,0,0,75,1,0,1266378160,12185760,80035840
15.0002075,98814,357373856619,15391.439,598,341.6313,0,0,81,1,0,1359870856,5316416,80035840
16.0000568,105612,358373705517,16391.509,598,341.6313,0,0,86,1,0,1453192992,15031896,80023552
17.0002125,112413,359373854005,17391.561,598,341.6313,0,0,92,1,0,1546557504,8015424,80023552
18.0003874,119235,360374034392,18391.67,598,341.6313,0,0,97,1,0,1640215584,18070344,80023552
19.000178,126039,361373826925,19391.36,598,341.6313,0,0,103,2,0,1733621608,11011376,80027648
20.0002689,133263,362373913939,20391.479,598,341.6313,0,0,109,2,0,1827252960,4268792,80027648
