Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Enabled,Mean,Error,StdDev,Median,Max,Gen0,Gen1,Allocated
RelayBatch,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,False,42.75 μs,1.641 μs,1.282 μs,42.67 μs,44.67 μs,28.1476,4.8879,359.54 KB
PublisherControl,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,False,42.20 μs,1.658 μs,1.384 μs,41.72 μs,45.62 μs,28.0449,4.9679,359.4 KB
RelayBatch,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,True,45.10 μs,1.967 μs,1.743 μs,44.93 μs,48.85 μs,28.0405,4.8986,359.54 KB
PublisherControl,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,True,44.65 μs,2.637 μs,2.337 μs,44.61 μs,50.02 μs,28.0749,5.0134,359.4 KB
