seconds,callbacks,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
1.0005647,4356,484637576639,1191.901,279,136.2262,0,0,3,0,0,63155608,13220728,74276864
2.000409,10467,485637486332,2393.882,573,338.7508,0,0,8,0,0,147379776,13837768,78827520
3.0003801,17289,486637457761,3393.771,573,338.7508,0,0,14,0,0,241031272,7110560,78835712
4.0001056,24132,487637184232,4394.347,575,339.5755,0,0,19,0,0,334975264,17452208,78917632
5.0003388,30912,488637417592,5394.462,576,344.9263,0,0,25,0,0,428053288,10148432,79360000
6.0001654,37737,489637244240,6398.743,591,349.5854,0,0,31,0,0,521747896,3467584,79372288
7.0001087,44577,490637184521,7398.574,591,349.5854,0,0,36,0,0,615651456,13768704,79380480
8.00003,51387,491637076606,8398.428,591,349.5854,0,0,42,0,0,709139488,6876136,79384576
9.0002016,58221,492637280340,9398.518,591,349.5854,0,0,47,0,0,802953544,17084824,79388672
10.0002591,64995,493637337849,10396.684,592,349.7529,0,0,53,1,0,895948288,9645960,80052224
11.0000411,71820,494637116486,11396.474,592,349.7529,0,0,58,1,0,989586264,19694464,80056320
12.0002451,78648,495637323996,12400,599,352.9231,0,0,64,1,0,1083271704,13022896,80072704
13.0003708,85473,496637449753,13400.006,599,352.9231,0,0,70,1,0,1176906544,6300608,80072704
14.0003858,92304,497637464152,14399.968,599,352.9231,0,0,75,1,0,1270629632,16438592,80072704
15.0003173,99120,498637396307,15399.773,599,352.9231,0,0,81,1,0,1364151720,9603216,80072704
16.0002625,106461,499637352650,16399.802,599,352.9231,0,0,86,1,0,1458162952,20019296,80060416
17.0000351,113907,500637125952,17399.454,599,352.9231,0,0,92,1,0,1552106944,13591784,80060416
18.0001391,121359,501637229292,18399.476,599,352.9231,0,0,98,1,0,1646155256,7268456,80060416
19.0001295,128811,502637220302,19399.336,599,352.9231,0,0,103,1,0,1740235416,17750040,80060416
20.0003225,136251,503637411477,20397.803,599,352.9231,0,0,109,2,0,1834152976,11198120,80064512
