Sample,SetupCpuTicks,StopCpuTicks,CleanupCpuTicks,SetupKernelTicks,StopKernelTicks,CleanupKernelTicks,LatencyTicks
1,10040,4180,50,0,0,0,206457
2,2270,2700,20,0,0,0,173227
3,2120,4370,70,0,4370,70,216963
4,2170,2620,20,1200,730,10,168831
5,2160,3910,20,610,1090,10,195201
6,2150,2610,10,600,730,0,166848
7,2410,3950,70,0,0,0,196493
8,2160,4020,10,0,0,0,200097
9,2120,2640,20,0,0,0,170573
10,2400,4000,80,0,0,0,199737
11,2190,2610,20,0,0,0,168250
12,2070,3980,70,0,0,0,198215
13,2160,4240,70,0,4240,70,212245
14,2180,3930,20,990,1100,10,195370
15,2140,3880,10,600,1090,0,193477
16,2140,4310,20,600,4310,20,217523
17,2180,2680,20,1950,750,10,172397
18,2210,4020,10,620,1130,0,199326
19,2170,2920,60,610,0,0,182922
20,2140,2650,20,0,0,0,170202
21,2090,3950,10,0,1040,0,195762
22,2210,4030,10,620,1130,0,200949
23,2520,2640,20,2520,2640,20,168670
24,2110,3930,60,1330,1100,10,195240
25,2190,3910,10,610,1100,0,193868
26,2070,4020,10,0,0,0,198415
27,2330,3960,10,0,630,0,197283
28,2150,3900,20,600,1090,10,194008
29,2130,4320,70,590,4320,70,215960
30,2170,2650,20,1910,740,10,171414
31,2600,3980,70,730,1110,20,198425
32,4230,2670,10,4230,2180,0,171685
33,2740,4060,70,760,1140,20,199837
34,16250,4120,20,0,10,10,212705
35,2010,4330,70,560,4330,70,213808
36,2160,2620,20,1880,730,10,168700
37,2110,3900,60,590,1100,10,194169
38,2140,4160,70,600,0,0,208239
39,2180,2620,20,0,0,0,167879
40,2110,3860,70,0,0,0,192026
41,2140,3860,60,0,230,10,193057
42,2550,3960,60,0,0,0,197304
43,2140,3860,20,0,0,0,193197
44,2080,7810,50,0,5100,10,534093
45,2360,4010,20,660,1120,10,199786
46,2050,3930,70,580,1100,20,195110
47,2200,4300,70,620,4300,70,214980
48,2180,3890,10,1920,1090,0,194079
49,2150,2650,20,600,740,10,170623
50,2110,4540,10,590,4540,10,225255
51,2200,3900,10,1770,1090,0,194550
52,2150,3980,20,600,1120,0,197513
53,2150,2770,20,600,0,0,182511
54,2190,3960,60,0,0,0,197183
55,2160,3900,70,300,1090,20,195460
56,2140,3890,60,600,1090,20,194429
57,2480,11040,30,2480,5780,10,762693
58,2370,3330,20,670,3330,20,200818
59,860,4000,20,860,2550,10,196632
60,1950,4060,20,550,1130,10,200918
61,2210,4090,20,620,4090,20,218224
62,2250,4000,20,2130,1120,0,197604
63,2210,3950,10,620,1110,0,195991
64,2170,4310,20,610,4310,20,215390
65,2180,2640,30,1910,740,10,169661
66,2130,3930,70,600,1100,20,196372
67,10200,2120,2350,0,0,0,209652
68,2260,4010,10,0,180,0,196722
69,2760,4010,20,0,0,0,198935
