Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Enabled,Mean,Error,StdDev,Median,Max,Gen0,Gen1,Allocated
RelayBatch,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,False,48.56 μs,2.412 μs,2.256 μs,47.50 μs,53.10 μs,28.0200,4.8246,359.54 KB
PublisherControl,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,False,42.88 μs,1.118 μs,1.046 μs,42.95 μs,45.17 μs,28.0292,5.0487,359.4 KB
RelayBatch,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,True,46.78 μs,1.115 μs,0.871 μs,47.11 μs,48.16 μs,28.1423,4.8343,359.54 KB
PublisherControl,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,True,41.34 μs,2.093 μs,1.748 μs,41.40 μs,45.95 μs,28.0774,4.9175,359.4 KB
