Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Enabled,Mean,Error,StdDev,Median,Max,Gen0,Allocated
SynchronousBatch,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,False,250.476 ns,1.1155 ns,0.9889 ns,250.344 ns,252.892 ns,0.0100,144 B
PendingBatch,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,False,493.303 ns,8.4169 ns,7.8732 ns,490.300 ns,506.557 ns,0.0367,480 B
PublisherControl,Job-DGWMHF,False,Default,Default,Default,Default,Default,Default,00000000000000000100,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,250ms,Default,Default,Default,Default,Default,Default,Default,16,5,False,6.809 ns,0.0858 ns,0.0802 ns,6.771 ns,6.946 ns,0.0000,0 B
